GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sudoku,com.sandra.kisita.sudoku,GrilleImpl,11,232,5,37,3,43,6,25,1,9
sudoku,com.sandra.kisita.sudoku,Grille,0,40,0,0,0,1,0,1,0,1
